TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Gm13157	6530402F18Rik	0.02193	43.44	0.442	rgb(222,132,133)	1.8503	2,2
Zfp868	6530402F18Rik	-0.95605	50.46	-4.6E-01	rgb(117,156,235)	1.991	2,2
Zfp960	6530402F18Rik	-0.14233	45.17	-1.7E-01	rgb(180,194,223)	1.885	2,2
Phf20	Acnat1	0.14379	45.18	0.178	rgb(219,183,183)	1.8852	2,2
Zfp429	Acnat1	-0.63956	49.54	-5.4E-01	rgb(100,146,237)	1.9726	2,2
Zfp960	Acnat1	0.54826	49.21	0.298	rgb(220,160,161)	1.9659	2,2
Zfp429	Bcam	0.94746	50.47	0.468	rgb(222,128,129)	1.9912	2,2
Zfp868	Bcam	-0.99778	50.67	-6.7E-01	rgb( 72,129,242)	1.9952	2,2
Zfp960	Bcam	-0.29644	47.04	-4.5E-02	rgb(207,211,219)	1.9225	2,2
Phf20	Dennd3	0.87479	50.36	0.362	rgb(221,148,149)	1.989	2,2
Zfp429	Dennd3	-0.45111	48.25	-2.5E-01	rgb(162,183,227)	1.9467	2,2
Zfp868	Dennd3	0.13475	45.21	0.207	rgb(219,178,178)	1.8858	2,2
Zfp960	Dennd3	0.18526	45.32	0.321	rgb(221,156,156)	1.888	2,2
Phf20	Dixdc1	0.79685	50.29	0.291	rgb(220,161,162)	1.9876	2,2
Zfp429	Dixdc1	-0.94125	50.46	-4.6E-01	rgb(117,156,235)	1.991	2,2
Zfp960	Dixdc1	0.52145	49.14	0.137	rgb(219,191,191)	1.9645	2,2
Gm13157	Ifi202b	-0.057891	44.25	-2.6E-01	rgb(161,183,227)	1.8666	2,2
Phf20	Ifi202b	0.02957	44.04	0.042	rgb(217,209,209)	1.8624	2,2
Zfp429	Ifi202b	-0.65849	50.12	-1.2E-01	rgb(190,201,222)	1.9842	2,2
Zfp868	Ifi202b	0.81973	50.31	0.305	rgb(220,159,159)	1.988	2,2
Zfp960	Ifi202b	0.85925	50.36	0.363	rgb(221,148,148)	1.989	2,2
Gm13157	Lad1	0.48358	48.34	0.34	rgb(221,152,153)	1.9485	2,2
Phf20	Lad1	-0.049581	44.14	-1.4E-01	rgb(187,199,222)	1.8644	2,2
Zfp868	Lad1	-0.22743	46.22	-2.2E-01	rgb(169,188,225)	1.906	2,2
Zfp960	Lad1	-0.88513	50.37	-3.7E-01	rgb(137,168,231)	1.9892	2,2
Phf20	Orm2	0.84818	50.35	0.347	rgb(221,151,151)	1.9888	2,2
Zfp429	Orm2	-0.60171	49.32	-3.2E-01	rgb(147,174,229)	1.9681	2,2
Zfp868	Orm2	0.96907	50.49	0.489	rgb(222,124,125)	1.9916	2,2
Zfp960	Orm2	0.80818	50.3	0.301	rgb(220,160,160)	1.9878	2,2
Gm13157	Rps6	0.4864	48.35	0.353	rgb(221,150,150)	1.9487	2,2
Zfp429	Rps6	0.84261	50.33	0.329	rgb(221,154,155)	1.9884	2,2
Zfp960	Rps6	-0.79685	50.29	-4.0E-01	rgb(131,165,232)	1.9876	2,2
Phf20	Selenbp2	0.15811	45.22	0.223	rgb(219,174,175)	1.886	2,2
Zfp429	Selenbp2	-0.18765	45.33	-3.3E-01	rgb(145,173,230)	1.8882	2,2
Zfp960	Selenbp2	0.51651	49.11	0.276	rgb(220,164,165)	1.9639	2,2
Phf20	Trim12a	-0.67514	50.15	-1.5E-01	rgb(185,197,223)	1.9848	2,2
Zfp429	Trim12a	0.97097	50.52	0.521	rgb(223,118,119)	1.9922	2,2
Zfp960	Trim12a	-0.56083	49.24	-2.8E-01	rgb(157,181,227)	1.9665	2,2
Phf20	Ttbk2	0.92346	50.41	0.41	rgb(222,139,140)	1.99	2,2
Zfp868	Ttbk2	0.81418	50.32	0.321	rgb(221,156,156)	1.9882	2,2
Zfp960	Ttbk2	0.87479	50.38	0.376	rgb(221,145,146)	1.9894	2,2
Phf20	Wdr54	-0.62284	49.37	-3.7E-01	rgb(137,169,231)	1.9691	2,2
Zfp868	Wdr54	-0.80818	50.3	-3.1E-01	rgb(150,176,229)	1.9878	2,2
Zfp960	Wdr54	-0.78502	50.28	-2.8E-01	rgb(157,180,228)	1.9874	2,2
Phf20	Xcr1	0.047922	44.22	0.225	rgb(219,174,175)	1.866	2,2
Zfp868	Xcr1	0.35286	47.26	0.261	rgb(220,167,168)	1.9269	2,2
Zfp960	Xcr1	0.51651	49.11	0.112	rgb(218,196,196)	1.9639	2,2
