	ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	CIC_SOX1_SOX10_SOX11_SOX12_SOX13_SOX14_SOX15_SOX17_SOX18_SOX2_SOX21_SOX3_SOX4_SOX5_SOX6_SOX7_SOX8_SOX9_SRY	FOXP3	HSF2_HSF4	RFX1_RFX2_RFX3_RFX4
AAK1	1	1	1	1	0
AC004691.5	1	1	1	0	1
AC004862.6	1	1	1	1	1
AC006196.1	1	0	1	1	0
AC009948.5	1	1	0	1	1
AC012379.1	1	0	0	1	0
AC019080.1	1	0	1	1	0
AC073850.6	1	1	1	0	0
AC074286.1	1	1	1	1	0
AC084117.3	1	0	0	0	0
AC092431.2	1	1	0	1	0
AC099326.1	1	0	1	1	0
AC130709.1	1	0	1	1	1
ADCY1	1	1	1	1	1
AL035697.1	1	0	1	0	0
AL592494.5	1	1	0	0	0
ANKRD32	1	0	0	0	0
ANXA4	1	1	1	0	0
AP003354.1	1	0	1	0	0
APLF	1	1	1	1	1
AQP1	1	0	0	1	0
ARHGAP42P5	1	0	0	1	0
AZIN1	1	1	1	1	1
C19orf82	1	0	0	0	1
C4BPAP2	1	1	0	0	0
C9orf47	1	1	1	0	0
CD36	1	1	1	1	1
CREG1	1	1	1	1	0
CSTF3	1	1	1	0	0
CTC-303L1.2	1	0	0	0	0
CTD-2033A16.1	1	0	0	0	0
CTD-2301A4.3	1	1	1	1	0
CTD-2301A4.5	1	1	1	1	0
EID1	1	0	0	1	0
FAM188B	1	1	1	1	1
FBXO48	1	0	1	0	0
FREM1	1	1	1	1	1
GNAT3	1	1	1	1	1
HIF1AN	1	0	0	1	0
IDO1	1	1	1	1	1
IDO2	1	1	1	1	1
INMT-FAM188B	1	1	1	1	1
KB-1254G8.1	1	0	0	0	0
KB-1507C5.2	1	1	1	1	1
KIAA0825	1	0	0	0	0
LDHA	1	0	0	0	0
LDHC	1	0	0	0	0
MAPK1	1	0	1	1	0
MIR3159	1	0	0	0	0
MITF	1	1	1	1	1
MXD3	1	0	0	0	0
NDUFB8	1	0	1	1	1
NFAT5	1	0	0	0	0
NFE2L2	1	1	1	1	0
NQO1	1	0	0	0	0
NSD1	1	1	1	1	0
PABPC1P13	1	0	1	0	0
PARK2	1	1	1	1	1
PAWR	1	0	0	0	0
PFDN4	1	1	1	1	0
PIGCP1	1	0	0	0	1
POTED	1	0	1	1	0
PPP1R12A	1	0	0	1	0
PRELID1	1	0	0	0	0
PRKRA	1	1	0	1	0
RAB24	1	0	0	0	0
RN7SL418P	1	1	1	1	1
RN7SL487P	1	1	1	1	0
RN7SL604P	1	0	1	1	0
RNA5SP493	1	0	1	1	0
RNU6-1260P	1	0	1	0	0
RNU6-286P	1	0	0	1	0
RP11-138E16.1	1	1	1	0	0
RP11-235E17.5	1	0	0	0	1
RP11-23F23.2	1	1	1	1	0
RP11-30L15.4	1	0	1	1	0
RP11-311C24.1	1	0	0	0	0
RP11-326A13.1	1	0	1	0	0
RP11-337N6.1	1	0	1	1	0
RP11-337N6.2	1	0	1	0	0
RP11-343N15.2	1	1	0	0	0
RP11-44K6.2	1	1	1	0	1
RP11-44K6.3	1	1	1	1	1
RP11-44K6.4	1	1	1	1	1
RP11-44K6.5	1	0	0	1	0
RP11-530C5.1	1	1	1	1	0
RP11-536C10.12	1	0	0	1	0
RP11-536C10.13	1	0	0	1	0
RP11-536C10.16	1	0	0	1	0
RP11-536C10.7	1	0	0	1	0
RP11-626K17.5	1	1	1	1	0
RP11-77O7.1	1	0	0	1	0
RP11-82L18.4	1	1	0	0	0
RPL5P24	1	0	1	0	1
S1PR3	1	1	1	0	0
SEC31B	1	0	1	1	1
SHC3	1	0	0	0	0
SHC4	1	1	1	1	0
SHPK	1	0	1	0	1
SNORA36C	1	0	0	1	0
snoU13	1	1	1	1	0
SNRPBP1	1	0	1	1	1
TCEA1	1	1	1	1	0
TCP11L1	1	1	1	0	1
TUBGCP4	1	1	1	1	0
U95743.1	1	1	1	1	1
WNT8B	1	0	0	0	0
Y_RNA	1	0	0	0	0
ZKSCAN2	1	0	0	0	0
ZNF562	1	0	0	0	1
ZSCAN29	1	0	1	1	0
ACTR3BP3	0	1	1	0	0
RP11-427H3.3	0	1	1	0	0
CTNS	0	0	1	0	0
KB-1507C5.3	0	0	1	0	1
MIR3118-5	0	0	1	0	0
PACRG	0	0	1	0	0
PLEKHA6	0	0	1	0	0
RP1-34L19.1	0	0	1	0	0
RP11-203F10.5	0	0	1	0	0
RP11-20J1.1	0	0	1	1	0
RP11-23F23.3	0	0	1	0	0
SOD1P1	0	0	1	0	0
SPINT4	0	0	1	0	0
TP53BP1	0	0	1	0	0
AGPS	0	0	0	1	0
KRT8P44	0	0	0	1	0
RGS20	0	0	0	1	0
